id,allitas,statusz,bizonyitek,or,datum,megjegyzes
A16,"A magyar vállalati kamattranszmisszió MIND A NÉGY becslésben MAGASABB a nagyvállalatnál, mint a KKV-nál (szint: 0,922 vs 0,851 bankközi és 1,772 vs 1,657 állampapír; kumulált differencia: 0,652 vs 0,299 és 0,800 vs 0,206) — de egyik különbség sem szignifikáns 5%-on.",áll,t25,t25: mind a 4 becslesben a NAGYVALLALATI atgyuruzes a magasabb,2026-08-16,"EZ A V03 VISSZAVONÁSÁNAK EMPIRIKUS ALAPJA. A t_S > t_L feltevés nemcsak nem azonosított — a pontbecslések következetesen az ELLENKEZŐ irányba mutatnak. KORLÁTOK: (1) az ECB MIR összeg-kategória (<=0,25M vs >1M EUR) a méret PROXYja, nem a méret; (2) a t_sov szint-együtthatók 1 fölöttiek (1,66-1,77), ami gazdaságilag képtelen teljes átgyűrűzésre utal — a szint-regressziók valószínűleg közös trendet fognak. A védhető objektum a KÜLÖNBSÉG, nem a szint."
A17,"A kockázati besorolások közti nyers hitelhozzáférési szakadék nagyrészt ÖSSZETÉTEL-HATÁS: méretre, ágazatra, régióra és évre kiigazítva a 14,3 pontos rés (A 18,4% vs C 4,2%) 2,5 pontra zsugorodik (12,9% vs 10,4%).",áll,"t10, t11",t11: a hozzaferesi res OSSZETETEL-HATAS,2026-08-16,"Vagyis nem a kockázati besorolás zárja ki a céget a hitelből, hanem a mérete és az ágazata. Ez a modell szempontjából lényeges: az access-margót MÉRET szerint kell specifikálni, nem kockázat szerint — ahogy a v09 teszi. A probit együtthatói (t10) ugyanezt mutatják: bes_C = -0,203 (t = -7,4)."
A18,"A magyar KKV-hitelárazás 2021–24-ben LESZAKADT a piaci kamattól: a medián implicit ráta 2,3%-ról csak 4,5%-ra nőtt, miközben a BUBOR 1,5%-ról 14,3%-ra — és 2023-ban a ráták mindössze 18,7%-a volt piaci árazású.",áll,t12,t12 LESZAKADAS: 2023-ban a BUBOR,2026-08-16,"Ez a PROGRAMVEZÉRELTSÉG (A04) árazási megfelelője: az A04 a hozzáférésről szól, ez az árról. A kettő együtt magyarázza, miért nem azonosítható a 2021-24-es epizódból sem a chi (V04), sem az ACCSCALE (A06), sem a t_S/t_L (V03) — a piaci kamat varianciája nem ért el a KKV-hitelekig."
A19,"A piaci árazású alminta rátája a teljes minta 2,6–3,5-szerese (12,6–13,8% vs 3,7–4,9%), és ebben az almintában a kockázati besorolás szerinti sorrend ELTŰNIK: a legjobb besorolású cég (A: 12,92%) drágábban hitelez, mint a C (12,64%).",áll,t13,t13: a piaci alminta rataja a teljes minta tobbszorose,2026-08-16,"Következmény: a teljes mintában látszó „kockázati árazás” (A 3,68% < C 4,93%) NEM kockázati árazás, hanem PROGRAM-ÖSSZETÉTEL — a jobb besorolású cégek nagyobb arányban jutnak támogatott hitelhez. Óvatosan: a D osztály piaci almintája n=7, arra nem szabad hivatkozni."
A20,"A KKV-hitelárazást fenntartó implicit támogatási ék 2023-ban 557 Mrd Ft (BUBOR-referenciával), illetve 665 Mrd Ft (BUBOR+200 bp) — a KKV-hitelállomány 9,6%-a —, és a cégek 78,5%-a a BUBOR alatt volt árazva.",áll,t14,t14: 2023-ban az implicit tamogatasi ek,2026-08-16,"NEM költségvetési tétel: az ék egy részét a bankok és a fix kamatozású régi állomány (vintage-hatás) viselik, nem az állam. Nagyságrendi mérőszám arra, mekkora árazási beavatkozás tartja a jelenlegi szintet — és ezzel arra, mi történne a programok kifutásakor. Ez a tanulmány egyik legrelevánsabb szakpolitikai száma."
A21,"A nominális bérmerevség a magyar cégpanelen GYENGE 2023–24-ben: a cégek 10,1%-a nominálisan CSÖKKENTETTE az átlagbért és csak 2,8% fagyasztotta be, a medián béremelés 11,6% — és a csökkentés monoton csökken a mérettel (13,9% / 7,6% / 5,8%).",áll,t17,t17: a nominalis bercsokkentes MONOTON csokken a merettel,2026-08-16,"KORLÁTOK: egyetlen év-pár (a létszám csak 2023-ra és 2024-re ismert); MAGAS INFLÁCIÓS környezet, ahol a lefelé-merevség kevésbé köt — tehát ez ALSÓ korlát a merevségre; az átlagbér (bérköltség/létszám) összetétel-hatást is visz. Nem cáfolja a JV becsült xi_w = 0,657-ét, de jelzi, hogy a magyar bérmerevség méretfüggő lehet."
F01,"A KKV-blokk akkor előzi meg a nagyvállalatot, ha az ACCSCALE eléri a 22,3-at (horgonyzott rho_acc mellett) — átvett rho_acc-cal 36,5-öt.",feltételes,"t48, t48b",t48b: az empirikus horgony LEVISZI a kuszobot,2026-08-16,"KÜSZÖBFORMA. Az ACCSCALE horgonyzatlan (A06), tehát ez feltételes állítás, nem eredmény."
F02,"Az export-KKV kibocsátásának ELŐJELE az eps_ces-en fordul, ~2,3-nál.",feltételes,t42,t42: az y_E ELOJELE eps_ces-fuggo,2026-08-12,"Az aggregált GDP érzéketlen rá (0,008 pp sáv) — csak a szektorális eredményt viszi."
F03,"Az om_j / shl_j súlyok az Opten-panelből: 0,256/0,184/0,560 és 0,157/0,378/0,466.",feltételes,t46,t46: az om_j es az shl_j sulyok 1-re osszegzodnek,2026-08-16,ELFOGADÁSI FELTÉTEL: ezek a 10+ fős populáción BELÜLI részesedések. Teljes gazdaságra KSH/Eurostat SBS mikrokör-bontás kell (teendők 2.5). Addig -DOPTEN alapértelmezése 0.
F04,"A chi (BGG felár-rugalmasság) alsó korlátja a magyar panelen +0,002 negyedéves; az irodalmi érték 0,042–0,067.",feltételes,t50b; Christensen–Dib (2008) 2. tábla,,2026-08-16,"A becslés erősen attenuált (mérési hiba, átlagos vs határráta, programvezéreltség). NEM cáfolja az irodalmi értéket — alulazonosított."
F05,"Az euró-hatás gyakorlatilag TELJES EGÉSZÉBEN a szuverén csatornán megy: a banki csatorna hozzájárulása az első negyedévben a teljes hatás 0,22%-a (−0,0005 pp a −0,252 pp-ból).",feltételes,t15,t15: a hatas gyakorlatilag teljesen a SZUVEREN csatornan megy,2026-08-16,"ELFOGADÁSI FELTÉTEL: ez a jv_dsge_v03 ARCHÍV modellen készült (kétszektoros, háromtípusos szerkezet nélkül, access-margó nélkül). A fő modellen (v09) ÚJRA KELL FUTTATNI, mielőtt közöljük — a v09-ben a banki csatorna az access-margón át is hat, tehát a súlya vélhetően nagyobb. Amíg ez nincs meg, csak a v03-ra vonatkozó megállapításként idézhető."
V01,"""Az aggregált GDP-hatás +0,27% … +1,04% minden lépcsőn és paraméterezésen.""",VISSZAVONT,t47,t49b KORLAT: a GDP-hatas TULMEGY a korabbi savon,2026-08-16,"OK: a sáv az ÁTVETT rho_acc=0,85 mellett érvényes. Horgonyzott rho_acc mellett a felső vég +2,03% (OPTEN=1), illetve +2,89% (OPTEN=3). Helyette: A01."
V02,"""Duális gazdaság: a magyar autóipar mindössze 6% hazai köztes inputot használ.""",VISSZAVONT,t24; P2-azonosságteszt,,2026-08-12,"OK: az IO-mérés hibás — az összegzett köztes felhasználás a nemzeti számlák P2-jének csak 1,8–8,6%-a. A gyökérok MÉG NYITOTT, és az IRÁNYT SEM tudjuk. Doksi: FIGYELMEZTETES_io_tabla_gyanus.md"
V03,"""A KKV erősebb kamattranszmissziót kap (t_S > t_L).""",VISSZAVONT,t26,,2026-08-12,"OK: nem azonosítható — a becsült arány 0,26 és 2,75 között szóródik, semmi sem szignifikáns. Doksi: FIGYELMEZTETES_fo_allitas.md"
V04,"""A KKV BGG-érzékenysége háromszorosa a nagyvállalatiénak (chi_S = 0,06 vs chi_L = 0,02).""",VISSZAVONT,t50b; Christensen–Dib (2008),,2026-08-16,"OK: a panel a chi_L-t egyáltalán nem azonosítja (n=230, t=-0,78), a szakirodalom pedig EGYETLEN, méret szerint nem bontott chi-t becsül. Javaslat: szimmetrikus alap + scan."
V05,"""A chi_j értékek az Opten-panel mediánjai.""",VISSZAVONT,,,2026-08-12,OK: soha nem voltak azok — a hivatkozás téves volt. A tőkeáttétel-adat (lev_S < lev_L) ráadásul nem is támogatja a magasabb KKV-chi-t.
V06,"""A KKV hitelhozzáférése erősen reagál a piaci kamatra (a chi/access becsülhető a 2021–24-es panelből).""",VISSZAVONT,"t36, t37",,2026-08-12,"OK: a 2021–24-es magyar epizód programvezérelt (A04), ezért a piaci kamat varianciája nem azonosítja a piaci kamatra vett rugalmasságot."
V07,"""Szegmens-szintű tőke és beruházás a v05-ből.""",VISSZAVONT,,,2026-08-11,"OK: reallokációs maradék, nem szerkezeti eredmény. A v06 oldotta meg (szegmens-specifikus rk_j)."
V08,"""A tőkeáttétel növekedése csökkenti a vállalati forrásköltséget (chi < 0, t = -4,09).""",VISSZAVONT,t50b,t50b: a chi elojele atfordul a nevezo javitasaval,2026-08-16,"OK: MÉRÉSI MŰTERMÉK. Az implicit ráta nevezője év végi állomány, a számlálója évközi kamat; a nevező javítása után az együttható eltűnik, a stabil állományú metszeten pedig pozitívra fordul. Lásd A15."
